seas,wk,team,sck,saf,blk,ints,frcv,tdd,tdret,pts_allow
2000,14,DAL,2.0,0,0,0,1,0,0,27.0000
2000,14,WAS,0.0,0,0,1,2,0,0,9.0000
2000,14,NYG,2.0,0,0,2,0,0,0,7.0000
2000,14,GB,1.0,0,0,2,0,1,0,6.0000
2000,14,CHI,1.0,0,0,0,0,0,0,28.0000
2000,14,KC,3.0,0,0,0,1,0,0,30.0000
2000,14,NE,0.0,0,0,1,2,0,0,24.0000
2000,15,BAL,2.0,0,0,1,4,0,0,3.0000
2000,15,SD,3.0,0,0,2,1,0,0,24.0000
2000,15,CHI,2.0,0,0,0,0,0,0,17.0000
2000,15,NE,1.0,0,0,0,1,0,0,24.0000
2000,15,PHI,2.0,0,0,3,1,0,0,24.0000
2000,15,CLE,5.0,0,0,0,2,0,0,35.0000
2000,15,WAS,3.0,0,0,0,0,0,0,32.0000
2000,15,DAL,5.0,0,0,1,1,0,0,13.0000
2000,15,DEN,0.0,0,0,3,1,1,0,24.0000
2000,15,SEA,1.0,0,0,1,0,0,0,31.0000
2000,15,GB,0.0,0,0,3,2,0,0,13.0000
2000,15,DET,1.0,0,0,1,1,0,0,26.0000
2000,15,ARI,0.0,0,0,0,0,0,0,44.0000
2000,15,JAC,4.0,0,0,1,0,0,0,10.0000
2000,15,CAR,0.0,0,0,2,2,0,0,15.0000
2000,15,KC,6.0,0,0,1,0,0,0,14.0000
2000,15,TB,1.0,0,0,4,1,1,0,13.0000
2000,15,MIA,4.0,0,0,1,0,0,0,16.0000
2000,15,NYG,2.0,0,0,1,0,0,0,10.0000
2000,15,PIT,1.0,0,0,0,0,0,0,30.0000
2000,15,NO,2.0,0,0,2,1,0,0,27.0000
2000,15,SF,5.0,0,0,0,0,0,0,31.0000
2000,15,MIN,0.0,0,0,0,0,0,0,40.0000
2000,15,STL,4.0,0,0,0,0,0,0,29.0000
2000,15,CIN,2.0,0,0,0,1,0,0,35.0000
2000,15,TEN,4.0,0,0,0,0,0,0,3.0000
2000,15,OAK,5.0,0,0,4,0,1,0,7.0000
2000,15,NYJ,2.0,0,0,1,0,0,0,31.0000
2000,15,BUF,2.0,0,0,0,0,0,0,44.0000
2000,15,IND,9.0,0,1,2,2,2,0,20.0000
2000,16,PIT,2.0,0,0,2,2,0,1,3.0000
2000,16,WAS,1.0,0,0,0,1,0,0,24.0000
2000,16,SEA,0.0,0,0,3,0,0,0,24.0000
2000,16,OAK,3.0,0,1,1,1,0,0,27.0000
2000,16,BAL,2.0,0,0,2,2,0,0,7.0000
2000,16,ARI,4.0,0,0,1,1,0,0,13.0000
2000,16,NE,4.0,0,2,0,3,0,0,10.0000
2000,16,BUF,1.0,0,0,0,0,0,0,13.0000
2000,16,SD,3.0,1,2,1,0,1,0,30.0000
2000,16,CAR,1.0,0,0,1,1,1,0,22.0000
2000,16,JAC,4.0,0,0,1,3,0,0,17.0000
2000,16,CIN,1.0,0,0,0,1,0,0,14.0000
2000,16,TEN,2.0,0,0,0,1,0,0,0.0000
2000,16,CLE,2.0,0,0,1,1,0,0,24.0000
2000,16,DEN,0.0,0,0,0,2,1,0,20.0000
2000,16,KC,2.0,0,0,0,1,0,0,7.0000
2000,16,IND,3.0,0,0,1,1,0,0,13.0000
2000,16,MIA,1.0,0,0,0,2,0,0,20.0000
2000,16,GB,1.0,0,0,1,1,0,0,28.0000
2000,16,MIN,2.0,0,0,0,0,0,0,33.0000
2000,16,ATL,1.0,0,0,0,1,0,1,23.0000
2000,16,NO,5.0,0,0,2,1,1,0,7.0000
2000,16,NYJ,5.0,0,0,1,0,0,0,10.0000
2000,16,DET,1.0,0,0,1,1,0,0,7.0000
2000,16,SF,2.0,0,0,1,0,0,0,0.0000
2000,16,CHI,5.0,0,0,0,1,0,0,17.0000
2000,16,DAL,1.0,0,1,1,0,0,0,17.0000
2000,16,NYG,5.0,0,0,1,2,0,0,13.0000
